author_id:int,paper_id:int
1001,9304045
1001,9308122
1001,9309097
1001,9311042
1001,9401139
1001,9404151
1001,9407087
1001,9408099
1001,9501030
1001,9503124
1001,9504090
1001,9504145
1001,9505025
1001,9505054
1001,9505105
1001,9505162
1001,9506048
1001,9506112
1001,9506144
1001,9507050
1001,9507158
1001,9508094
1001,9508155
1001,9510142
1001,9510225
1001,9510234
1001,9511030
1001,9511171
1001,9601108
1001,9602022
1001,9602114
1001,9603003
1001,9603150
1001,9603161
1001,9603167
1001,9605184
1001,9605222
1001,9606017
1001,9606040
1001,9607163
1001,9607207
1001,9608086
1001,9609070
1001,9609071
1001,9609239
1001,9611137
1001,9612108
1001,9701162
1001,9702094
1002,9702094
1003,9609070
1004,9506112
1005,9506112